Comment[ENA_RUN],Source Name,Comment[ENA_SAMPLE],Characteristics[organism],Characteristics[strain],Characteristics[developmental stage],Characteristics[organism part],Characteristics[cell type],Characteristics[division pattern],Characteristics[single cell well quality],Characteristics[batch],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Extract Name,Material Type.1,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Comment[single cell isolation],Comment[library construction],Comment[end bias],Comment[input molecule],Comment[primer],Comment[spike in],Comment[spike in dilution],Comment[spike sequence file],Comment[spike concentration file],Protocol REF.3,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[FASTQ_URI],Comment[SPOT_LENGTH],Comment[READ_INDEX_1_BASE_COORD],Derived Array Data File,Comment [Derived ArrayExpress FTP file],Factor Value[developmental stage],Factor Value[division pattern],Factor Value[single cell identifier],ct
ERR1229173,EM_4cell_3_B,ERS1043864,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,equatorial - meridional,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,EM_4cell_3_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample40_,sequencing assay,ERX1301225,Goolam_et_al_2015_Batch1_Sample40_1.fq.gz,Goolam_et_al_2015_Batch1_Sample40_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1229173/ERR1229173_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,equatorial - meridional,EM_4cell_3_B,4C
ERR1229173,EM_4cell_3_B,ERS1043864,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,equatorial - meridional,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,EM_4cell_3_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample40_,sequencing assay,ERX1301225,Goolam_et_al_2015_Batch1_Sample40_2.fq.gz,Goolam_et_al_2015_Batch1_Sample40_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1229173/ERR1229173_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,equatorial - meridional,EM_4cell_3_B,4C
ERR1229174,EM_4cell_3_C,ERS1043865,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,equatorial - meridional,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,EM_4cell_3_C,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample52_,sequencing assay,ERX1301226,Goolam_et_al_2015_Batch1_Sample52_1.fq.gz,Goolam_et_al_2015_Batch1_Sample52_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1229174/ERR1229174_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,equatorial - meridional,EM_4cell_3_C,4C
ERR1229174,EM_4cell_3_C,ERS1043865,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,equatorial - meridional,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,EM_4cell_3_C,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample52_,sequencing assay,ERX1301226,Goolam_et_al_2015_Batch1_Sample52_2.fq.gz,Goolam_et_al_2015_Batch1_Sample52_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1229174/ERR1229174_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,equatorial - meridional,EM_4cell_3_C,4C
ERR1229175,EM_4cell_3_D,ERS1043866,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,equatorial - meridional,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,EM_4cell_3_D,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample64_,sequencing assay,ERX1301227,Goolam_et_al_2015_Batch1_Sample64_1.fq.gz,Goolam_et_al_2015_Batch1_Sample64_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/005/ERR1229175/ERR1229175_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,equatorial - meridional,EM_4cell_3_D,4C
ERR1229175,EM_4cell_3_D,ERS1043866,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,equatorial - meridional,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,EM_4cell_3_D,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample64_,sequencing assay,ERX1301227,Goolam_et_al_2015_Batch1_Sample64_2.fq.gz,Goolam_et_al_2015_Batch1_Sample64_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/005/ERR1229175/ERR1229175_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,equatorial - meridional,EM_4cell_3_D,4C
ERR1229176,ME_4cell_1_A,ERS1043867,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_1_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample73_,sequencing assay,ERX1301228,Goolam_et_al_2015_Batch1_Sample73_1.fq.gz,Goolam_et_al_2015_Batch1_Sample73_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/006/ERR1229176/ERR1229176_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_1_A,4C
ERR1229176,ME_4cell_1_A,ERS1043867,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_1_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample73_,sequencing assay,ERX1301228,Goolam_et_al_2015_Batch1_Sample73_2.fq.gz,Goolam_et_al_2015_Batch1_Sample73_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/006/ERR1229176/ERR1229176_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_1_A,4C
ERR1229177,ME_4cell_1_B,ERS1043868,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_1_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample85_,sequencing assay,ERX1301229,Goolam_et_al_2015_Batch1_Sample85_1.fq.gz,Goolam_et_al_2015_Batch1_Sample85_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/007/ERR1229177/ERR1229177_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_1_B,4C
ERR1229177,ME_4cell_1_B,ERS1043868,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_1_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample85_,sequencing assay,ERX1301229,Goolam_et_al_2015_Batch1_Sample85_2.fq.gz,Goolam_et_al_2015_Batch1_Sample85_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/007/ERR1229177/ERR1229177_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_1_B,4C
ERR1229178,ME_4cell_1_C,ERS1043869,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_1_C,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample2_,sequencing assay,ERX1301230,Goolam_et_al_2015_Batch1_Sample2_1.fq.gz,Goolam_et_al_2015_Batch1_Sample2_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/008/ERR1229178/ERR1229178_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_1_C,4C
ERR1229178,ME_4cell_1_C,ERS1043869,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_1_C,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample2_,sequencing assay,ERX1301230,Goolam_et_al_2015_Batch1_Sample2_2.fq.gz,Goolam_et_al_2015_Batch1_Sample2_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/008/ERR1229178/ERR1229178_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_1_C,4C
ERR1229179,ME_4cell_1_D,ERS1043870,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_1_D,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample14_,sequencing assay,ERX1301231,Goolam_et_al_2015_Batch1_Sample14_1.fq.gz,Goolam_et_al_2015_Batch1_Sample14_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/009/ERR1229179/ERR1229179_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_1_D,4C
ERR1229179,ME_4cell_1_D,ERS1043870,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_1_D,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample14_,sequencing assay,ERX1301231,Goolam_et_al_2015_Batch1_Sample14_2.fq.gz,Goolam_et_al_2015_Batch1_Sample14_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/009/ERR1229179/ERR1229179_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_1_D,4C
ERR1229180,ME_4cell_2_A,ERS1043871,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_2_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample26_,sequencing assay,ERX1301232,Goolam_et_al_2015_Batch1_Sample26_1.fq.gz,Goolam_et_al_2015_Batch1_Sample26_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/000/ERR1229180/ERR1229180_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_2_A,4C
ERR1229180,ME_4cell_2_A,ERS1043871,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_2_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample26_,sequencing assay,ERX1301232,Goolam_et_al_2015_Batch1_Sample26_2.fq.gz,Goolam_et_al_2015_Batch1_Sample26_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/000/ERR1229180/ERR1229180_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_2_A,4C
ERR1229181,ME_4cell_2_B,ERS1043872,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_2_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample38_,sequencing assay,ERX1301233,Goolam_et_al_2015_Batch1_Sample38_1.fq.gz,Goolam_et_al_2015_Batch1_Sample38_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/001/ERR1229181/ERR1229181_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_2_B,4C
ERR1229181,ME_4cell_2_B,ERS1043872,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_2_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample38_,sequencing assay,ERX1301233,Goolam_et_al_2015_Batch1_Sample38_2.fq.gz,Goolam_et_al_2015_Batch1_Sample38_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/001/ERR1229181/ERR1229181_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_2_B,4C
ERR1229182,ME_4cell_2_C,ERS1043873,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_2_C,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample50_,sequencing assay,ERX1301234,Goolam_et_al_2015_Batch1_Sample50_1.fq.gz,Goolam_et_al_2015_Batch1_Sample50_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/002/ERR1229182/ERR1229182_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_2_C,4C
ERR1229182,ME_4cell_2_C,ERS1043873,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_2_C,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample50_,sequencing assay,ERX1301234,Goolam_et_al_2015_Batch1_Sample50_2.fq.gz,Goolam_et_al_2015_Batch1_Sample50_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/002/ERR1229182/ERR1229182_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_2_C,4C
ERR1229183,ME_4cell_2_D,ERS1043874,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_2_D,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample62_,sequencing assay,ERX1301235,Goolam_et_al_2015_Batch1_Sample62_1.fq.gz,Goolam_et_al_2015_Batch1_Sample62_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1229183/ERR1229183_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_2_D,4C
ERR1229183,ME_4cell_2_D,ERS1043874,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_2_D,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample62_,sequencing assay,ERX1301235,Goolam_et_al_2015_Batch1_Sample62_2.fq.gz,Goolam_et_al_2015_Batch1_Sample62_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1229183/ERR1229183_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_2_D,4C
ERR1229184,ME_4cell_3_A,ERS1043875,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_3_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample74_,sequencing assay,ERX1301236,Goolam_et_al_2015_Batch1_Sample74_1.fq.gz,Goolam_et_al_2015_Batch1_Sample74_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1229184/ERR1229184_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_3_A,4C
ERR1229184,ME_4cell_3_A,ERS1043875,Mus musculus,C57BL/6 x CBA,cleavage 4-cell,embryo,blastoderm cell,meridional - equatorial,OK,1,cell,P-MTAB-43329,P-MTAB-43330,P-MTAB-43332,ME_4cell_3_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample74_,sequencing assay,ERX1301236,Goolam_et_al_2015_Batch1_Sample74_2.fq.gz,Goolam_et_al_2015_Batch1_Sample74_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1229184/ERR1229184_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 4-cell,meridional - equatorial,ME_4cell_3_A,4C
